tempMLX,FSR_A1,FSR_A2,FSR_A3,FSR_B1,FSR_B2,FSR_B3,FSR_C,porcAper
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
27.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
